user,sentence1(human),score1,Dialog rating1,sentence2(fb),score2,Dialog rating2,sentence3(gpt),score3,dialog rating3
I am really looking forward to the thanksgiving holiday!,Me too! My whole family are going to Hawaii for vacation. What about you?,0.5,1,Me too! I can't wait to see my family and eat all of their delicious food!,1,0.75,Me too! I'm so excited!,1,0.75
"I will hanging out with my friends, I'm so excited. Do you already have a plan for your trip?",We will go to the beach for sure. Where are you going with your friends?,0.5,," Yes, we are going to the beach. I can't wait to see the waves!",1,,"I have a plan, but I'm not sure if I want to go to the beach.",1,
We will go climbing. Hope there will be a nice weather.,"Yeah, believe me, it will be good.",0.5,,Climbing is a lot of fun. What kind of climbing are you going to do?,0.5,,I hope so too.,1,
Don't forget send me a postcard from Hawaii!,"Sure, no problem! ",1,," I would if I could, but I don't have a lot of money to spare right now.",0.5,,I will!,0.5,
,,,,,,,,,
I feel upset because I failed my test.,"I'm sorry to hear that, what part did you lose your points?",1,0.75," I'm sorry to hear that. What kind of test was it, and why did you fail?",1,1,I feel like I failed my test.,1,0.75
"It's all about Math, I can't remember how it works, I feel so regret that I didn't spend much time on those equations.","I see. I guess if you spend more time on math, you will do better next time!",0.5,,Math is not my strong suit either. I am not good at it at all.,1,,I feel you. I spent a lot of time on those equations.,1,
,,,,,,,,,
I do not even dare to imaging we can win this match!,Me neither. But who knows what will happen?,0.5,1," I don't think we can either, but I'm rooting for you!  What's your team?",1,0.5,I don't even dare to imagine we can win this match!,1,0.75
"Yeah, sometimes something magical might happen.",Agree! Let's focus on our work and pray for the best!,1,," I know, I was so happy to see it. It was the first time I've ever seen it.",0.5,,"I know, right? I'm so excited for this game.",1,
,,,,,,,,,
Hey! What are you up to this Friday?,I am tied to my course project. Do you have any plan?,0.5,1,I'm going to the beach!  I can't wait!  How about you?,0.5,1,"Nothing much, you?",0.5,1
I want to go to the beach! The weather will be sunny.,That sounds great! What will you guys do on the beach?,1,,That sounds like a lot of fun! I hope you get to go soon. What beach are you going to?,1,,I want to go to the beach too!,1,
,,,,,,,,,
Do you have any plans this weekend?,I am visiting my family and I am so excited. How about you?,0.5,1,I'm going to the beach! I can't wait to get out of the house!,0.5,1,"I have plans for the weekend, but I'm not sure what they are.",0.5,0.25
I have got a lot of course work to do and I am stressed out.,Sorry to hear that. Did you try to work with your classmates? Maybe they could help.,1,,I'm sorry to hear that. What kind of work is it that you have to do?,1,,I know that feel.,0,
,,,,,,,,,
How about going to the cinema tonight?,That sounds great. Which movie do you want to watch?,0.5,1,That sounds like a lot of fun. What movie are you going to see? I haven't been to the theater in a long time.,0.5,1,I'm going to see it in a few hours.,0.5,0.5
I know that Venom is on hit right now. How about that?,That's a good idea! But what's it about? I never heard it.,1,,I don't think I've heard of it. Is it a movie or a TV show?,0.5,,I think it's a bit too strong.,0.5,
,,,,,,,,,
